title,heading,content,tokens
2002 FIFA World Cup,Disciplinary statistics,"Total number of yellow cards: 272 
Average yellow cards per match: 4.25 
Total number of red cards: 17 
Average red cards per match: 0.27 
First yellow card of the tournament:Emmanuel Petit for France against Senegal 
First red card of the tournament:Boris Živković for Croatia against Mexico 
Fastest yellow card from kick off: 2 minutes  Henri Camara for Senegal against Uruguay, Jesús Arellano for Mexico against Italy 
Fastest yellow card after coming on as a substitute: 3 minutes  Alberto García Aspe for Mexico against United States (introduced in the 78th minute) 
Latest yellow card in a match without extra time: 90+4 minutes  Pape Thiaw for Senegal against Sweden 
Latest yellow card in a match with extra time: 115 minutes  Choi Jin-cheul for South Korea against Italy 
Fastest dismissal from kick off: 22nd minute  Carlos Paredes for Paraguay against Slovenia 
Fastest dismissal of a substitute: 12 minutes  Shao Jiayi for China against Turkey (introduced in the 46th minute) 
Latest dismissal in a match without extra time: 90+4 minutes  Hakan Ünsal for Turkey against Brazil 
Latest dismissal in a match with extra time: 103 minutes  Francesco Totti for Italy against South Korea 
Shortest time difference between two yellow cards given to the same player: 3 minutes  Carsten Ramelow for Germany against Cameroon (booked in the 37th minute and again in the 40th minute) 
Most yellow cards (team): 19  Turkey 
Most red cards (team): 2  Paraguay, Portugal, Turkey 
Fewest yellow cards (team): 2  Nigeria 
Most yellow cards (player): 3  Michael Ballack, Emre Belözoğlu, Beto, Tugay Kerimoğlu, Francesco Totti 
Most red cards (player): 1  Roberto Acuña, Beto, Claudio Caniggia, Nastja Čeh, Salif Diao, Thierry Henry, Rafael Márquez, Alpay Özalan, Carlos Paredes, João Pinto, Carsten Ramelow, Ronaldinho, Shao Jiayi, Patrick Suffo, Francesco Totti, Hakan Ünsal, Boris Živković 
Most yellow cards (match): 16  Cameroon vs Germany 
Most red cards (match): 2  Brazil vs Turkey, Cameroon vs Germany, Slovenia vs Paraguay, Portugal vs South Korea 
Fewest yellow cards (match): 0  Croatia vs Mexico, Germany vs Republic of Ireland, Nigeria vs England 
Most cards in one match: 16 yellow cards and 2 red cards  Cameroon vs Germany",599
2002 FIFA World Cup,Ticket sales problem,"The original domestic ticket allocation had fully sold out and the organising committee completed sales of tickets returned from the international allocation by the end of April. However, there were a significant number of empty seats at the opening matches. It was gradually revealed that the World Cup Ticketing Bureau (WCTB) still had unsold tickets in its possession. After FIFA agreed to sell this inventory, JAWOC undertook sales over telephone and WCTB handled the internet sales. For the second round Japan vs. Turkey match in Miyagi in particular, although it was reported by both parties that all tickets had been sold, some 700 seats remained empty.",132
2002 FIFA World Cup,Mascot,"The official mascot of this World Cup was ""Ato, Kaz, and Nik"" (The Spheriks), orange, purple, and blue (respectively) futuristic, computer-generated creatures. Collectively, members of a team of ""Atmosball"" (a fictional football-like sport), Ato is the coach while Kaz and Nik are players. The three individual names were selected from shortlists by users on the Internet and at McDonald's outlets in the host countries.",101
2002 FIFA World Cup,Cultural event,"The official FIFA cultural event of the 2002 World Cup was a flag festival called Poetry of the Winds. Held in Nanjicheon Park, an area of the World Cup Park close to Seoul World Cup Stadium, Poetry of the Winds was exhibited from 29 May to 25 June in order to wish success upon the World Cup and promote a festive atmosphere. During the flag art festival, hand-painted flags from global artists were displayed as a greeting to international guests in a manner that was designed to promote harmony (2002 Flag Art Festival Executive Committee).",112
2002 FIFA World Cup,Concerns,"The World Cup was originally going to be hosted either in Japan or in South Korea, but in the end both rivals had decided to share the hosting duties thus making this World Cup the first to have multiple host nations. However, there were concerns regarding the selection of hosts due to logistical issues caused by fans traveling across two separate sovereign nations as well as whether some of the 20 stadiums to be constructed for the World Cup would be ready in time for it or not. While political and infrastructural problems were eventually overcome, there still remained the issue of East Asia's wet season which could disrupt the play. The timing of the tournament thus had been altered to mitigate as much as possible against such issues, with the tournament kicking off on May 31 and due to run until June 30, the earliest date for a World Cup final since 1986.The time difference caused issues for fans worldwide especially in Europe, where people had to go to work when matches were played.",194
2002 FIFA World Cup,Aftermath and legacy,"The tournament had a major economic impact on both South Korea and Japan, generating an estimated US$1.3 billion in revenue. Spending from World Cup tourists in South Korea created US$307 million in direct income and US$713 million in valued added. Japan spent an estimated US$5.6 billion on preparations for the event, which had a US$24.8 billion impact on the Japanese economy and accounted for 0.6% of their GDP in 2002.",98
Friend-to-friend,Summary,"A friend-to-friend (or F2F) computer network is a type of peer-to-peer network in which users only make direct connections with people they know. Passwords or digital signatures can be used for authentication.
Unlike other kinds of private P2P, users in a friend-to-friend network cannot find out who else is participating beyond their own circle of friends, so F2F networks can grow in size without compromising their users' anonymity. Retroshare, WASTE, GNUnet, Freenet and OneSwarm are examples of software that can be used to build F2F networks, though RetroShare is the only one of these configured for friend-to-friend operation by default.
Many F2F networks support indirect anonymous or pseudonymous communication between users who do not know or trust one another. For example, a node in a friend-to-friend overlay can automatically forward a file (or a request for a file) anonymously between two friends, without telling either of them the other's name or IP address. These friends can in turn automatically forward the same file (or request) to their own friends, and so on.
Dan Bricklin coined the term ""friend-to-friend network"" in 2000.",261
FIFA headquarters,Summary,"The headquarters of FIFA (German: FIFA-Hauptquartier) is a distinctive complex in Zürich. The complex has served as the official headquarters of FIFA since its completion in 2006. It is located on the Zürichberg, a wooded hill in District 7.
As well as offices, the complex includes a fitness centre, a meditation room, geographically themed parks, a full-size international football pitch and full-size beach football pitch.The main building has only two upper levels, but five underground levels, resulting in two thirds of the headquarters lying underground. ""Places where people make decisions should only contain indirect light,"" said Sepp Blatter, ""because the light should come from the people themselves who are assembled there.""",156
List of FIFA World Cup hat-tricks,Summary,"The FIFA World Cup is an international association football competition established in 1930. It is contested by the men's national teams of the members of the FIFA, the sport's global governing body. The tournament has taken place organised every four years, except in 1942 and 1946, when the competition was cancelled due to World War II. A hat-trick occurs when a player scores three or more goals in a single match and it is considered an achievement, especially while playing at the largest international football tournament in the world. Across the over 800 matches at the 22 tournaments of the FIFA World Cup, 54 hat-tricks have been scored. The first hat-trick was scored by Bert Patenaude of the United States, playing against Paraguay in 1930; the most recent was by Kylian Mbappé of France, playing against Argentina on 18 December 2022. The only World Cup not to have at least one hat-trick scored was the 2006 FIFA World Cup in Germany. The record number of hat-tricks in a single World Cup tournament is eight, during the 1954 FIFA World Cup in Switzerland.
19 players have scored a hat-trick in the knockout stage of the FIFA World Cup. Two were playing in their first ever World Cup match, Edmund Conen and Angelo Schiavio, both in 1934, a tournament without a group stage. Geoff Hurst (1966) & Kylian Mbappé (2022) are the only players to have scored a hat-trick in the final. Two players have scored a hat-trick in the second group stage of the World Cup, Paolo Rossi and Zbigniew Boniek, both in 1982.",345
List of FIFA World Cup hat-tricks,Notable World Cup hat-tricks,"This section features records and notable hat-tricks relating to the men's World Cup. For notable hat-tricks at the Women's World Cup, see List of FIFA Women's World Cup hat-tricks#Notable World Cup hat-tricks.Bert Patenaude was the first player to score a hat-trick in a World Cup match, on 17 July 1930 against Paraguay. However, until 10 November 2006 the first hat-trick that FIFA acknowledged had been scored by Guillermo Stábile of Argentina, two days after Patenaude. In 2006, FIFA announced that Patenaude's claim to being the first hat-trick scorer was valid, as teammate Tom Florie's goal in the match against Paraguay was re-attributed to him.
Four players have scored two hat-tricks in World Cup matches: Sándor Kocsis (both 1954); Just Fontaine (both 1958); Gerd Müller (both 1970); and Gabriel Batistuta (1994 and 1998). Batistuta is thus the only person to score hat-tricks in two World Cups. He has another unique record of scoring hat-tricks, both were achieved on 21 June of the year, against World Cup finals debutants (Greece and Jamaica), and each time the third goal was a penalty. Kocsis and Müller scored their hat-tricks in consecutive matches.
Oleg Salenko is the only player in World Cup history to have scored five goals in a single match. He did this during the 1994 FIFA World Cup match between Russia and Cameroon.
One player has scored a hat-trick on his international début: Guillermo Stábile (1930).
One player has scored four goals for the losing side: Ernst Wilimowski (5–6, 1938).
Three other players have scored a hat-trick for the losing side: Josef Hügi (5–7, 1954), Kylian Mbappe (3–3, losing 4–2 on penalties, 2022), and Igor Belanov (3–4, 1986).
One other player has scored a hat-trick in a game that his side did not win: Cristiano Ronaldo (3–3, 2018)
There have been three occasions when two hat-tricks have been scored in the same match. Two occurred during the 1938 FIFA World Cup: when Sweden defeated Cuba, Gustav Wetterström and Harry Andersson, both playing for Sweden, scored three goals, with the former completing his in the first half. In the Brazil vs Poland, Leônidas did it for Brazil and Ernst Wilimowski for Poland. One occurred in 1954: when Austria defeated Switzerland, Theodor Wagner and Josef Hügi scored hat-tricks for Austria and Switzerland respectively.
Two players have scored hat-tricks in World Cup Finals. Geoff Hurst scored three goals for England against West Germany in the 1966 Final. This is also the longest hat-trick to be completed — most time between the first and third goals. His first goal came at 18', while the second and third goals were in extra time at 98' and 120'. Kylian Mbappé scored the other World Cup finals' hat-trick in the 2022 FIFA World Cup final for France against Argentina. His goals were scored at the 80th, 81st and 118th minute marks. Two of his goals - 80th and 118th - were successful penalty kicks.
The quickest hat-trick by a player is Erich Probst, who scored at 4', 21', and 24' in 1954, playing for Austria against Czechoslovakia in the first round.
The briefest hat-trick to be completed — that is, the shortest time between the first and third goals — is the one by László Kiss in 1982 against El Salvador. He scored at 69', 72', and 76', making the time between his first and third 7 minutes. This is also the only hat-trick scored by a substitute.
The only players to have scored from three headers in a single match are Tomáš Skuhravý in 1990 and Miroslav Klose in 2002.
The youngest player to score a hat-trick is Pelé, at 17 years, 244 days.
The oldest player to score a hat-trick is Cristiano Ronaldo, at 33 years, 130 days.
Germany (incl. West Germany) holds the record for most hat-tricks scored with 7. Germany also shares with South Korea the record for most hat-tricks conceded with 4.",963
France national football team records and statistics,Summary,"This list of France national football team records contains statistical accomplishments related to the France national football team (French: Equipe de France), its players, and its managers. The France national team represents the nation of France in international football. It is fielded by the French Football Federation (French: Fédération Française de Football) and competes as a member of UEFA.",81
France national football team records and statistics,Player records,"Most appearances
Hugo Lloris, 145, 19 November 2008 — 18 December 2022Other centurions

Lilian Thuram, 142, 17 August 1994 — 13 June 2008
Olivier Giroud, 122, 11 November 2011 — present
Antoine Griezmann, 119, 5 March 2014 — present
Marcel Desailly, 116, 22 August 1993 — 17 June 2004
Zinedine Zidane, 108, 17 August 1994 — 9 July 2006
Patrick Vieira, 107, 26 February 1997 — 2 June 2009
Didier Deschamps, 103, 29 October 1989 — 2 September 2000Most appearances as a captain
Hugo Lloris, 121, 17 November 2010 — 18 December 2022Most goals
Olivier Giroud, 53, 2011 — presentLongest France career
Karim Benzema, 15 years, 86 days, 28 March 2007 — 13 June 2022Shortest France career
Franck Jurietti, 5 seconds, 12 October 2005 v. CyprusOldest player
Larbi Ben Barek, 40 years and 150 days, 6 October 1954 v. West GermanyYoungest player
Julien Verbrugghe, 16 years and 306 days, 1 November 1906 v. England AmateursMost appearances at the World Cup finals
Hugo Lloris, 20, 11 June 2010 — 18 December 2022Appearances at four World Cup final tournaments
Thierry Henry, 1998, 2002, 2006, and 2010Hugo Lloris, 2010, 2014, 2018, and 2022Most goals scored at the World Cup finals
Just Fontaine, 13, 8 June 1958 — 28 June 1958Youngest goalscorer at the World Cup finals
Kylian Mbappé, 19 years and six months, 21 June 2018 v. Peru.Most appearances at the European Championship finals
Lilian Thuram, 16, 10 June 1996 — 13 June 2008Appearances at four European Championship final tournaments
Lilian Thuram, 1996, 2000, 2004, and 2008Hugo Lloris, 2008, 2012, 2016, and 2020Most goals scored at the European Championship finals
Michel Platini, 9, 12 June 1984 — 27 June 1984Most appearances on aggregate at the World Cup and European Championship finals
Lilian Thuram, 32, 10 June 1996 — 13 June 2008Most appearances at the FIFA Confederations Cup finals
Sylvain Wiltord, 10, 30 May 2001 — 29 June 2003
Robert Pires, 10, 30 May 2001 — 29 June 2003Appearances in three different decades
Julien Darui, 1930s, 1940s, 1950s
Robert Jonquet, 1940s, 1950s, 1960s
Henri Michel, 1960s, 1970s, 1980s
Laurent Blanc, 1980s, 1990s, 2000s
Didier Deschamps, 1980s, 1990s, 2000s
Thierry Henry, 1990s, 2000s, 2010s
Nicolas Anelka, 1990s, 2000s, 2010s
Hugo Lloris, 2000s, 2010s, 2020s
Steve Mandanda, 2000s, 2010s, 2020s
Karim Benzema, 2000s, 2010s, 2020s",664
France national football team records and statistics,Manager records,"Most matches as coach
Didier Deschamps, 141, 8 July 2012 — presentMost matches won as coach
91 by Didier DeschampsMost matches drawn as coach
28 by Didier DeschampsMost matches lost as coach
22 by Didier Deschamps",60
France national football team records and statistics,Team records,"Largest victory
10–0, France – Azerbaijan, 6 September 1995Largest away victory
0–7, Cyprus – France, 11 October 1980Largest defeat
17–1, Denmark – France, 22 October 1908Largest home defeat
0–15, France – England Amateur, 1 November 1906Most consecutive victories
13, 29 March 2003 — 18 February 2004Most consecutive matches without a defeat
30, 16 February 1994 — 9 October 1996Most consecutive defeats
12, 23 March 1908 — 23 March 1911Most consecutive matches without a victory
15, 23 March 1908 — 30 April 1911Longest period without conceding a goal
11 matches (1140 minutes), 29 June 2003 — 6 June 2004Highest home attendance
80,051, France – Ukraine, 2 June 2007Highest away attendance
125,631, Scotland – France, 27 April 1949",185
FIFA World Cup Trophy,Summary,"The World Cup is a solid gold trophy that is awarded to the winners of the FIFA World Cup association football tournament. Since the advent of the World Cup in 1930, two trophies have been used: the Jules Rimet Trophy from 1930 to 1970, before the FIFA World Cup Trophy from 1974 to the present day. It is one of the most expensive trophies in sporting history, valued at $250,000.The first trophy, originally named Victory, but later renamed in honour of FIFA president Jules Rimet, was made of gold plated sterling silver and lapis lazuli. It depicted Nike, the Greek goddess of victory. Brazil won the trophy outright in 1970, prompting the commissioning of a replacement. The original Jules Rimet Trophy was stolen in 1983 and never recovered.
The subsequent trophy, called the ""FIFA World Cup Trophy"", was introduced in 1974. Made of 18 karat gold with bands of malachite on its base, it stands 36.8 centimetres high and weighs 6.175 kilograms (30,875 carats). The trophy was made by the Stabilimento Artistico Bertoni company in Italy. It depicts two human figures holding up the Earth. The current holders of the trophy are Argentina, winners of the 2022 World Cup.",264
FIFA World Cup Trophy,Jules Rimet Trophy,"The Jules Rimet Trophy was the original prize for winning the FIFA World Cup. Originally called ""Victory"", but generally known simply as the World Cup or Coupe du Monde, it was renamed in 1946 to honour the FIFA President Jules Rimet, who in 1929 passed a vote to initiate the competition. It was designed by French sculptor Abel Lafleur and made of gold-plated sterling silver on a lapis lazuli base. In 1954 the base was replaced with a taller version to accommodate more winner's details. It stood 35 centimetres (14 in) high and weighed 3.8 kilograms (8.4 lb).
It comprised a decagonal cup, supported by a winged figure representing Nike, the ancient Greek goddess of victory. The Jules Rimet Trophy was taken to Uruguay for the first FIFA World Cup aboard the Conte Verde, which set sail from Villefranche-sur-Mer, just southeast of Nice, in June 1930. This was the same ship that carried Jules Rimet and the footballers representing France, Romania, and Belgium who were participating in the tournament that year. The first team to be awarded the trophy was Uruguay, the winners of the 1930 World Cup.

During World War II, the trophy was held by 1938 champion Italy. Ottorino Barassi, the Italian vice-president of FIFA and president of FIGC, secretly transported the trophy from a bank in Rome and hid it in a shoe-box under his bed to prevent the Nazis from taking it. The 1958 FIFA World Cup in Sweden marked the beginning of a tradition regarding the trophy. As Brazilian captain Hilderaldo Bellini heard photographers' requests for a better view of the Jules Rimet Trophy, he lifted it up in the air. Every Cup-winning captain ever since has repeated the gesture.On 20 March 1966, four months before the 1966 FIFA World Cup in England, the trophy was stolen during a public exhibition at Westminster Central Hall. It was found seven days later wrapped in newspaper at the bottom of a suburban garden hedge in Beulah Hill, Upper Norwood, South London, by a black and white mongrel dog named Pickles.

As a security measure, The Football Association secretly manufactured a replica of the trophy for use in exhibitions rather than the original. This replica was used on occasions up until 1970 when the original trophy had to be handed back to FIFA for the next competition. Since FIFA had explicitly denied the FA permission to create a replica, the replica also had to disappear from public view and was for many years kept under its creator's bed. This replica was sold at an auction in 1997 for £254,500, when it was purchased by FIFA. The high auction price, ten times the reserve price of £20,000–£30,000, was led by speculation that the auctioned trophy was not the replica trophy but the original itself. Testing by FIFA confirmed the auctioned trophy was a replica. Soon afterwards FIFA arranged for the replica to be lent for display at the English National Football Museum, which was then based in Preston but is now in Manchester.The Brazilian team won the tournament for the third time in 1970, allowing them to keep the real trophy in perpetuity, as had been stipulated by Jules Rimet in 1930. It was put on display at the Brazilian Football Confederation headquarters in Rio de Janeiro, in a cabinet with a front of bullet-proof glass.On 19 December 1983, the wooden rear of the cabinet was opened by force with a crowbar and the cup was stolen again. Four men were tried and convicted in absentia for the crime. The trophy has never been recovered, and it is widely believed to have been melted down and sold. Only one piece of the Jules Rimet Trophy has been found, the original base, which FIFA had kept in a basement of the federation's Zürich headquarters prior to 2015.The Confederation commissioned a replica of their own, made by Eastman Kodak, using 1.8 kilograms (4.0 lb) of gold. This replica was presented to Brazilian military president João Figueiredo in 1984.",851
FIFA World Cup Trophy,New trophy,"A replacement trophy was commissioned by FIFA for the 1974 World Cup. Fifty-three submissions were received from sculptors in seven countries. Italian artist Silvio Gazzaniga was awarded the commission. The trophy stands 36.5 centimetres (14.4 in) tall and is made of 6.175 kilograms (13.61 lb) or 30,875 carats of 18 karat (75%) gold, worth approximately US$161,000 in 2018. Its base is 13 centimetres (5.1 in) in diameter containing two layers of malachite. Chemist Sir Martyn Poliakoff claims that the trophy is hollow, because if it were solid gold, the trophy would weigh 70–80 kilograms (150–180 lb) and would be too heavy to lift. This is easy to understand since 18 k gold is an alloy made of 18 parts of gold, 5 parts of silver and 1 part of copper with a mean density of 15.6 gr/cm3. The trophy weighs 6175 g, this amount of alloy is just a volume of 390 cm3 or, in other words, would be a cube with a side of 7.3 cm, and the World Cup is clearly larger. This argumentation proves that the World Cup is indeed hollow. Moreover, its original manufacturer, who is the same that makes the official replicas, confirmed this characteristic.Produced by Bertoni, Milano in Paderno Dugnano, it depicts two human figures holding up the Earth. Gazzaniga described the trophy thus, ""The lines spring out from the base, rising in spirals, stretching out to receive the world. From the remarkable dynamic tensions of the compact body of the sculpture rise the figures of two athletes at the stirring moment of victory"".The trophy has the engraving ""FIFA World Cup"" on its base. After the 1994 FIFA World Cup, a plate was added to the bottom side of the trophy where the names of winning countries are engraved, names therefore not visible when the trophy is standing upright. The original trophy is now permanently kept at the FIFA World Football Museum in Zurich, Switzerland. It only leaves there when it goes on its FIFA World Cup Trophy Tour. It is present at the Final draw for the next World Cup, and on the pitch at the World Cup opening game and Final. The FIFA World Cup Trophy Tour was inaugurated for the 2006 FIFA World Cup competition.The Cup used to be kept by the winning team until the final draw of the next tournament, however, that is no longer the case. Instead the winners of the tournament receive a bronze replica which is gold-plated rather than solid gold. The inscriptions state the year in figures and the name of the winning nation in its national language. For example, ""1974 Deutschland"" or ""1994 Brasil"". In 2010, the name of the winning nation was engraved as ""2010 Spain"", in English, not in Spanish. This was corrected in the new plate made after the 2018 World Cup.As of 2022, twelve winners have been engraved on the base. The plate is replaced each World Cup cycle and the names of the trophy winners are rearranged into a spiral to accommodate future winners. FIFA's regulations now state that the trophy, unlike its predecessor, cannot be won outright: the winners of the tournament receive a bronze replica which is gold-plated rather than solid gold. Germany became the first nation to win the new trophy for the third time when they won the 2014 FIFA World Cup. Argentina became the second nation to achieve this feat following their win in Qatar at the 2022 FIFA World Cup.",738
FIFA World Cup Trophy,Eventual replacement,"Since the base of the trophy only has space for new engravings to be made up until the 2038 World Cup, a new trophy will eventually be made for the 2042 World Cup.",41
FIFA World Cup Trophy,Winners,"Historic list of all holders of the trophy (winners of the FIFA World Cup).
Jules Rimet Trophy

 Brazil – 1958, 1962, 1970
 Uruguay – 1930, 1950
 Italy – 1934, 1938
 West Germany – 1954
 England – 1966FIFA World Cup Trophy

 West Germany /  Germany – 1974, 1990, 2014
 Argentina – 1978, 1986, 2022
 Italy – 1982, 2006
 Brazil – 1994, 2002
 France – 1998, 2018
 Spain – 2010",103
2022 AFC U-23 Asian Cup qualification,Summary,"The 2022 AFC U-23 Asian Cup qualification was an international men's under-23 football competition which decided the participating teams of the 2022 AFC U-23 Asian Cup.
A total of 16 teams qualified to play in the final tournament, including Uzbekistan who qualified automatically as hosts country.Due to non-compliance to doping regulations, the World Anti-Doping Agency (WADA) banned Indonesia and Thailand from using their national flags in competitions, except during the Olympics. It was reported that Indonesia prepared the flag of its federation, in the event its team was barred from using the national flag.",124
2022 AFC U-23 Asian Cup qualification,Draw,"Out of the 47 AFC member associations, a total of 42 teams entered the competition. The final tournament hosts Uzbekistan decided to participate in qualification. Their matches were not taken into account when calculating the group ranking and best second-placed teams among the groups.
The draw was held on 9 July 2021, 12:00 (UTC+5), in Tashkent, Uzbekistan. The 42 teams were drawn into nine groups of four teams and two groups of three teams. For the draw, teams were divided into two zones:

West Zone: 23 teams from West Asia, Central Asia and South Asia, to be drawn into five groups of four teams and one group of three teams (Groups A–F).
East Zone: 19 teams from ASEAN and East Asia, to be drawn into four groups of four teams and one group of three teams (Groups G–K).The teams were seeded according to their performance in the 2020 AFC U-23 Championship final tournament and qualification (overall ranking shown in parentheses). The eleven teams which indicated their intention to serve as qualification group hosts prior to the draw were drawn into separate groups.
On 29 July, North Korea withdrew from the competition due to safety concerns related to the COVID-19 pandemic. As a result, to better balance of the number of teams across all groups, the AFC conducted a draw on 11 August to move one team from Groups G to J, which was Hong Kong, who were placed in Group K. On 11 October, China also withdrew from the competition for the same reason, leaving Group G with only two teams.
NotesTeams in bold qualified for the final tournament.
(H): Qualification group hosts determined before the draw
(H)*: Qualification group hosts determined after the draw
(Q): Final tournament hosts, automatically qualified regardless of qualification results
(W): Withdrew after drawNotes(X): Suspended",396
2022 AFC U-23 Asian Cup qualification,Format,"In each group, teams played each other once at a centralized venue. The eleven group winners and the four best runners-up qualified for the final tournament.
In group G, after the withdrawal of Brunei and China PR, the two teams left (Australia and Indonesia) played each other twice. The winner qualified for the final tournament, with the loser eliminated.",76
2022 AFC U-23 Asian Cup qualification,Tiebreakers,"Teams were ranked according to points (3 points for a win, 1 point for a draw, 0 points for a loss), and if tied on points, the following tiebreaking criteria were applied, in the order given, to determine the rankings.

Points in head-to-head matches among tied teams;
Goal difference in head-to-head matches among tied teams;
Goals scored in head-to-head matches among tied teams;
If more than two teams are tied, and after applying all head-to-head criteria above, a subset of teams are still tied, all head-to-head criteria above were reapplied exclusively to this subset of teams;
Goal difference in all group matches;
Goals scored in all group matches;
Penalty shoot-out if only two teams are tied and they met in the last round of the group;
Disciplinary points (yellow card = 1 point, red card as a result of two yellow cards = 3 points, direct red card = 3 points, yellow card followed by direct red card = 4 points);
Drawing of lots.",231
2022 AFC U-23 Asian Cup qualification,Group D,"All matches were held in Uzbekistan.
Times listed are UTC+5.
Uzbekistan already qualified to the final tournament as host country, so their matches were not taken into account when calculating the group ranking.
Originally Kuwait was supposed to host group D; however, the AFC changed host country due to the COVID-19 pandemic in the country. On 19 October 2021, Uzbekistan was named replacement host.",89
2022 AFC U-23 Asian Cup qualification,Group G,"Both matches were held in Tajikistan.
Times listed are UTC+5.
After the withdrawal of Brunei and China PR, the remaining teams left played each other twice. The winner qualified for the final tournament, with the loser eliminated.",53
2022 AFC U-23 Asian Cup qualification,Group I,"All matches were to be held in Taiwan (Chinese Taipei), but AFC determined that the host would be changed, with Kyrgyzstan as the new host.
Times listed are UTC+6.",44
2022 AFC U-23 Asian Cup qualification,Group K,"All matches were held in Japan.
Times listed are UTC+9.
DPR Korea withdrew from the competition on 29 July. They were replaced by a team initially drawn in Group G–J (excluding host countries and teams from Pot 1), which was determined by a draw on 11 August to be Hong Kong.",67
2022 AFC U-23 Asian Cup qualification,Ranking of second-placed teams,"Due to groups having different numbers of teams, the results against the fourth-placed teams in four-team groups were not considered for this ranking.
Exceptions:

In Group D, the results against the host country Uzbekistan were not considered.
In Group G, the runners-up results were not considered for this ranking, as the group contained only two teams.",83
2022 AFC U-23 Asian Cup qualification,Goalscorers,"There were 114 individuals who scored at least 1 goal.
There were 146 goals scored in 50 matches, for an average of 2.92 goals per match.
5 goals

4 goals

3 goals

2 goals

1 goal

1 own goal

Source: AFC",64
FIFA World Cup awards,Awards,"There are currently five post-tournament awards from the FIFA Technical Study Group:the Golden Ball (currently commercially termed ""adidas Golden Ball"") for best player, first awarded in 1982; Lionel Messi is the only player in history to win the Golden Ball twice.
the Golden Boot (currently commercially termed ""adidas Golden Boot"", formerly known as the ""adidas Golden Shoe"" from 1982 to 2006) for top goalscorer, first awarded in 1982;
the Golden Glove (currently commercially termed ""adidas Golden Glove"", formerly known as the ""Lev Yashin Award"" from 1994 to 2006) for best goalkeeper, first awarded in 1994;
the FIFA Young Player Award (formerly known as the ""Best Young Player Award"" from 2006 to 2010) for best player under 21 years of age at the start of the calendar year, first awarded in 2006;
the FIFA Fair Play Trophy for the team that advanced to the second round with the best record of fair play, first awarded in 1970.
There is currently one award voted on by fans during the tournament:
the Player of the Match  (currently commercially termed ""Budweiser Player of the Match"", formerly known as the ""Man of the Match"" from 2002 to 2018) for outstanding performance during each match of the tournament, first awarded in 2002.
There are currently two awards voted on by fans after the conclusion of the tournament:
the Goal of the Tournament, (currently commercially termed ""Hyundai Goal of the Tournament"") for the fans' best goal scored during the tournament, first awarded in 2006;
the Most Entertaining Team for the team that has entertained the public the most, during the World Cup final tournament, as determined by a poll of the general public.
One other award was given between 1994 and 2006:an All-Star Team comprising the best players of the tournament chosen by the FIFA Technical Study Group. From 2010 onwards, all Dream Teams or Statistical Teams are unofficial, as reported by FIFA itself.",410
FIFA World Cup awards,Golden Ball,"The Golden Ball award is presented to the best player at each FIFA World Cup finals, with a shortlist drawn up by the FIFA technical committee (Technical Study Group) and the winner voted for by representatives of the media. Those who finish as runners-up in the vote receive the Silver Ball and Bronze Ball awards as the second and third most outstanding players in the tournament respectively. The current award was introduced in the 1982 FIFA World Cup, sponsored by Adidas and France Football. Oliver Kahn is to date the only goalkeeper to have won the award, which he did in the FIFA World Cup 2002. At the 2022 FIFA World Cup, Lionel Messi became the first player to win two Golden Balls.",140
FIFA World Cup awards,Unofficial winner,"The following players were recognised as best players by FIFA website. Also, FIFA only recognizes the 1978 Golden Ball award prior to 1982. FIFA does not recognize Golden Ball awards from 1930 to 1974.",41
FIFA World Cup awards,Media's selections,"Authoritative football historian and statistician Ejikeme Ikwunze, popularly called ""Mr. Football"", published a list of the best players in his book World Cup (1930-2010): A Statistical Summary, and it gained the most attention among experts' selections about the best players until 1978. This work is part of the official FIFA library, and received public recognition from his former presidents Joao Havelange and Joseph Blatter. A considerable number of other media agreed with him.
On 2 August 1950, Dr. Friedebert Becker, the editor-in-chief of Kicker (then Sport-Magazin), chose his best players of the tournament.France Football, the sponsor of Golden Ball and Ballon d'Or, selected the best player of the 1966 FIFA World Cup at that time with L'Équipe, and Bobby Charlton became the winner.After the 1978 World Cup Argentinian magazine El Gráfico held a survey for the best player of the tournament. This was different from the unofficial Golden Ball which is recognised by FIFA.Guerin Sportivo chose their top 10 player for the 1990 tournament in Italy.In 1998 the Argentinian newspaper Clarín provided a brief description of each star player dating back to 1930. Some are controversial decisions as is the case with retrospective awards. The 1998 winner was awarded after the tournament ended.",283
FIFA World Cup awards,Golden Boot,"The Golden Boot or Golden Shoe award goes to the top goalscorer of the FIFA World Cup. While every World Cup had a ranking of the goalscorers, the first time an award was given was in 1982, under the name Golden Shoe. It was rechristened Golden Boot in 2010. FIFA sometimes lists the top goalscorers of previous Cups among the Golden Boot winners.If there is more than one player with the same number of goals, since 1994 the tie-breaker goes to the player with more assists. If there is still more than one player, the tie (since 2006) is decided by minutes played in the tournament, with the player playing fewest minutes ranked first. A Silver Boot and a Bronze Boot are also awarded for the second and third-highest goalscorers respectively.",166
