title,heading,content,tokens
List of 2022 FIFA World Cup controversies,Ticketing,"Many England supporters missed the start of the Group B England vs Iran match due to problems with FIFA's ticketing app. That day also, the FIFA app caused tickets belonging to fans of the United States team to disappear.There were problems also with ticketing, first before, and then during, throughout, the Round of 16 Morocco vs Spain match on 6 December, including with FIFA's ticketing app.",84
List of 2022 FIFA World Cup controversies,Security interference,"Prior to the tournament, there were several reported incidents of altercations between broadcasters and Qatari security officials. Rasmus Tantholdt of Denmark's TV 2 was interrupted by a group of security guards during a live broadcast from the Katara Cultural Village, who threatened him and attempted to break their camera. Tantholdt responded to the group, saying ""You have invited the whole world here. Why can't we film? It is a public place."" Organisers apologised for the incident, claiming that it was a mistake.RTÉ journalist Tony O'Donoghue accused Qatari police of stopping him during efforts to film in the country on 17 November.While the tournament was underway, Argentine television presenter Joaquín 'El Pollo' Álvarez was intercepted by heavy-handed Qatari forces while he was in the middle of a live TV broadcast in a street of Barwa Village, a complex in Doha specifically designed for Qatar's hosting of the tournament. Álvarez was interviewing an old supported in a wheelchair, when he was stopped by Qatari forces, who asked him if he was an accredited media representative. When he was searching for his press pass in his bag, an official became irritated and ordered the cameraman to stop filming, claiming that the street was ""private"". 
Álvarez said that the official threatened to arrest him, saying ""I was frightened and thought they were going to take me prisoner... It's impossible to work and enjoy a World Cup like this"".The film crew were also threatened with the destruction of their equipment. Nicolás Magali, who was co-hosting the live broadcast from the TV studio in Argentina's capital Buenos Aires, told viewers: ""This is an example of severe censorship and we have to say so. They covered up the camera, didn't let us film, ordered you away in a rude fashion, and on top of that, the person doing the talking didn't identify himself"".",402
List of 2022 FIFA World Cup controversies,Grant Wahl's death,"American soccer journalist Grant Wahl collapsed and died while covering the Netherlands vs. Argentina match in the early morning of 10 December 2022.Wahl had experienced cold-like symptoms in the days prior, but felt better following a course of treatment from the World Cup medical centre. An outspoken critic of Qatar's selection as World Cup host, Wahl had been briefly detained while wearing a t-shirt depicting a rainbow at an earlier game during the tournament (United States vs Wales). Wahl reportedly received death threats for wearing the shirt, and his brother said he believes Wahl's death was the result of foul play, implicating the Qatari government as playing a role. Other journalists with Wahl at the time of his death have reported that he did not collapse but instead began fitting or experiencing a seizure, and called for help himself. They have criticised the Qatar Supreme Committee for not providing defibrillators in the stadium, as they had looked for one to try to help Wahl. In response, FIFA said that according to the ambulance service, a defibrillator was made available when paramedics later arrived on scene. An autopsy done on Wahl in New York City later revealed that Wahl died from an aortic aneurysm rupture. Grant Wahl's brother later backtracked on his statement on the cause of his brother's death and stated he no longer suspects foul play.",286
List of 2022 FIFA World Cup controversies,Chinese censorship,"CCTV, the state broadcaster and the official broadcaster of FIFA World Cup in mainland China, replaced footage of maskless audiences with close-ups of coaches, officials or players, or birds-eye view of stadiums in its broadcast, as scenes of maskless audiences fueled unrest with China's zero-COVID policy during ongoing protests. Following the protests, the Chinese government began to relax pandemic control measures and more images of audience without masks appeared on live telecast.",96
List of 2022 FIFA World Cup controversies,Algerian censorship,"State-run TV2 of Algeria avoided coverage of the Group F Belgium vs Morocco match and Morocco's subsequent win, due to tensions between Algeria and Morocco. In addition, Algeria's state TV channel and the Algeria Press Service never mentioned Morocco's defeating Spain in the round of 16, although many Algerians celebrated Morocco's victory.Although the reason has not been revealed, a few hours after the result of Morocco defeated Portugal in the quarter-final was shown on TV3, the director general of Public Establishment of Television, Chabane Lounakel was dismissed by the Algerian government.",121
List of 2022 FIFA World Cup controversies,Western media coverage perceived as racist,"Middle East Eye, a web news portal understood to be funded and operated by Qatar, though the nation denies this, has described several Western media publications as racist, and criticised the nations from which they originate. It highlighted the French satirical newspaper Le Canard enchaîné, which published a cartoon of bearded men wearing Qatar football jerseys holding knives, guns, and rocket launchers; and the German television network Welt, on which a presenter described the Tawhid Islamic salute performed by Moroccan players after they defeated Portugal as ""the signature hand gesture of members of ISIS"".Also on Welt, former footballer Jimmy Hartwig used the word ""Ching Chang Chong"" and made a bow as typical Japanese do to describe the Japanese squad, and also called Japan ""Reisabteilung"", which means ""rice department"". After this, he was criticized for discrimination against Asians especially among Japanese people in Germany.E-newsletter Morocco World News criticised Danish television network TV 2, which it said was racist for a panel of presenters comparing the way Moroccan players reached over spectators to embrace their mothers to monkeys huddling, while the blog site Al Bawaba saw someone post criticism of Dutch newspaper de Volkskrant for printing on the day of their semi-final, a cartoon of Morocco players with shaved heads taking the World Cup trophy from Infantino.",280
List of 2022 FIFA World Cup controversies,BBC controversies,"Hassan Al Thawadi, the head of the Qatar World Cup, called some of the BBC's coverage of the tournament ""extremely racist"" and charged Gary Lineker with not engaging with the organisers before criticising them directly. The BBC said it had received more than 1,000 complaints about its coverage of the World Cup opener between hosts Qatar and Ecuador, and some users described the BBC's coverage of the World Cup as ""racist"".
Al Thawadi said since February, he had tried several times to have a meeting between the officials organising the World Cup and the hosts and pundits of the BBC, especially Lineker, but there was never any desire to listen to the Qatari side of the story. He claimed that Lineker never wanted to engage. In response to Al Thawadi, Lineker tweeted that he and his representative had not received any requests to engage with anyone involved in Qatar 2022. The Daily Telegraph reported on emails showing efforts to arrange a meeting between Al Thawadi and BBC hosts and pundits ahead of the World Cup draw in April. A BBC spokesperson denied Al Thawadi's claims and said they had a duty to cover legitimate issues related to the World Cup without fear or favour. Lineker would go on to end his commentary of the tournament by stating that the United States, one of the co-hosts of the following World Cup, is “extraordinarily racist” in an attempt to show that he was willing to criticise any host country and had not only singled out Qatar for its issues while also mentioning that “every country has problems”.On 19 November 2022, Jürgen Klinsmann, accused Iran of cheating in their 2–0 win over Wales whilst appearing as a pundit on the BBC. He stated that cheating in football matches is in Iranian culture. Referring to the referee's Guatemala nationality, he claimed that the result of the Iran and Wales match would have been different had the referee been from Europe. After his comments, Gabby Logan, the broadcast host, also mentioned that the linesman was also from Trinidad and Tobago.",430
List of 2022 FIFA World Cup controversies,Boycotts,"Tromsø IL of Norway released a statement calling for a boycott of the 2022 World Cup, in relation to reports of ""modern-day slavery"" and the ""alarming number of deaths"", among additional concerns in their statement. The club urged the Norwegian Football Federation to support such a boycott.In reaction to the 2017 Qatar diplomatic crisis, Reinhard Grindel, the president of the German Football Association, stated in June 2017 that ""the football associations of the world should conclude that major tournaments cannot be held in countries with human rights abuses and that the German Football Association would talk with UEFA and the Cabinet of Germany in order to evaluate whether to boycott the tournament in Qatar in 2022. On 26 March 2021, the German Football Association stated that it was opposed to boycotting the tournament but that its players will campaign for improvement of human rights for all. On the same day, Belgium manager Roberto Martínez told CNN that it would be a ""big mistake"" to boycott the event.On 20 June 2021, a congress of the Norwegian Football Federation decided against a boycott of the 2022 World Cup in Qatar.On 20 October 2021, the German Football Association (DFB) published an interview on its website that confirmed that Germany would not boycott the 2022 World Cup in Qatar. According to vice-president Peter Peters, ""Qatar has seen many positive developments in the past few years, and it is football's role to support those developments.""On 27 March 2022, the Fourth High-Level Strategic Dialogue between the State of Qatar and the United Nations Office of Counter-Terrorism (UNOCT) took place where the Gulf nation extended its donation to three more years. According to the recent report of UNOCT, Qatar remained the second-largest donor in the campaign amongst 35 other donors.In October 2022, it was announced Paris had joined other French cities in boycotting the broadcasting of the 2022 tournament amid concerns over rights violations of migrant workers and the environmental impact of the tournament, despite the fact that Paris Saint-Germain, the city's Ligue 1 team, is owned by the Qatari government.In November 2022, fans of Borussia Dortmund, Bayern Munich, and Hertha Berlin unveiled banners calling for a boycott of the Qatar World Cup.Cologne-based supermarket chain REWE cut all ties with the German Football Association (DFB) with immediate effect on 23 November as the company's CEO Lionel Souque moved to disassociate them from the sport, calling FIFA's actions in the early days of the tournament ""scandalous"", and even electing to waive its pre-existing advertising rights.",528
List of 2022 FIFA World Cup controversies,Serbian incidents,"During the Group G Serbia vs Switzerland match on 2 December, midfielder Granit Xhaka twice rattled the entire Serbian team. First, in the 65th minute, Xhaka grabbed his crotch in the direction of Serbian players, causing the entire Serbian bench to angrily respond to him and Serbian reserve goalkeeper Predrag Rajković being booked. Second, at the end of the match, Xhaka got into a fight against Nikola Milenković for his chants against Serbians, with both players going into the referee's book.Many Serbian fans displayed slogans and attire related to the Yugoslav Wars, such as ""Serbia to Tokyo"", and made racist chants and gestures toward Albanians during the second half of the game. Between the two incidents between Xhaka and the Serbian players, FIFA issued a public address in the 77th minute of the game asking for ""discriminatory chants and gestures"" to stop. Also, according to a Kosovo Albanian fan, his Albanian flag around his neck was confiscated at the entrance before the game. Another fan was escorted out of the game by members of security after doing the Albanian double-headed eagle celebration.Furthermore, Xhaka, an ethnic Albanian, enraged Serbian fans by wearing a jersey with the surname of Jashari written on it while celebrating after having won the match. Despite his claims that he wore the jersey to show support to his young Switzerland teammate Ardon Jashari, Serbian fans and media interpreted the move as glorification of Adem Jashari, a Kosovo Albanian soldier who founded the Kosovo Liberation Army during the Kosovo War, and who is seen as a national hero amongst Albanians but as a terrorist amongst Serbs.FIFA later opened a disciplinary proceeding against Serbia over the breach of three of FIFA's articles, including misconduct of players, discrimination, and order and security at matches.",381
List of 2022 FIFA World Cup controversies,Croatian incidents,"Xenophobic chants were reported during the course of the Group F Croatia vs Canada match on 27 November. During the match, Croatian fans chanted xenophobic anti-Serb slogans against Canadian goalkeeper Milan Borjan, an ethnic Croatian Serb who fled Croatia during the Croatian War of Independence. They also displayed a modified John Deere banner making a reference to Operation Storm, a military operation that ended the war and abolished the separatist proto-state Republic of Serbian Krajina, which resulted in a mass exodus and war crimes against number of Krajina's Serb civilians. Serbs generally consider it an act of ethnic cleansing, however, in a controversial decision, the ICTY appeals court in the 2012 final verdict ruled that ""there had been no joint criminal enterprise, or conspiracy, to force out the Serbs from the Krajina region."" Borjan's phone number was leaked among Croatian fans who sent him over 2,500 hateful messages during and after the game. His wife was also insulted during the game and targeted with hateful massages on social platforms just like him.The incident was also preceded by Borjan's statement that he was ""born in Krajina"" and ""not Croatia"", while characterizing the historical Croatian region of Dalmatia as Serbian which Croatians considered a nationalist and irredentist claim. Republika Srpska Krajina was a separatist state created by Croatian Serbs in 1991 where ethnic cleansing of Croats was carried out.FIFA opened a disciplinary measure against Croatia over these incidents after the Canadian Soccer Association filed a complaint. On 7 December, the Croatian Football Federation was fined 50,000 Swiss francs due to violating article 16 of the FIFA Disciplinary Code.FIFA hit Croatia with another fine of 5,000 Swiss francs for the inappropriate behaviour (use of banners with inappropriate content) before the match against Morocco, played on 17 December.",386
List of 2022 FIFA World Cup controversies,Pitch invasions,"A pitch invader, carrying a rainbow flag and wearing a shirt with the words “RESPECT FOR IRANIAN WOMAN” written on the back and “SAVE UKRAINE” written on the front, interrupted the Group H Portugal vs Uruguay match on 28 November.Another person interrupted the Group D Tunisia vs France match on 30 November by running into the pitch carrying a Palestinian flag.",86
List of 2022 FIFA World Cup controversies,Japan goal versus Spain,"In the Group E Japan vs Spain match, on 1 December, Japan midfielder Ao Tanaka scored a controversial goal (his team's second), the ball ending up in Unai Simón's net shortly after it seemed to have gone out of play. After a lengthy delay the goal was eventually awarded by VAR. The decision proved critical in both Japan's surprise topping of Group E and the elimination of Germany from the tournament, with Die Mannschaft finishing third despite securing a two-goal victory over Costa Rica in the group's other game. An image was later released showing that the ball had not fully crossed the line, by the narrowest of margins. Qatari-owned network beIN Sports showed a virtual bird's eye view of the ball: the section of the ball which was in contact with the pitch was outside the field of play, but its curvature meant the side of the ball was still marginally over the line. Spain's coach Luis Enrique claimed that the image had been ""manipulated"". On December 3, FIFA released video and images to provide an official explanation to show that the VAR decision was correct.",232
List of 2022 FIFA World Cup controversies,Netherlands vs Argentina quarter-final,"Spanish referee Antonio Mateu Lahoz officiated the second quarter-final, held on 9 December, a game between the Netherlands and Argentina. Mateu Lahoz's decision-making throughout this game was called into question by many of those involved, as well as by neutral observers. BBC presenter Gary Lineker at one point during the game commented: ""13 yellow cards. This referee has always loved to be the centre of attention. Makes Mike Dean seem shy."" Ultimately, Mateu Lahoz produced a FIFA World Cup record of 18 yellow cards, including to people who were sitting on the bench and thus not involved in the game. After the end of the game, Mateu Lahoz issued a red card to Netherlands player Denzel Dumfries, however no TV commentator picked up on this, leaving viewers who checked the match reports afterwards puzzled. During the extra time period (which resulted from Netherlands striker Wout Weghorst scoring an equalising goal with the last kick of normal time, which itself went on for ten minutes extra due to the number of stoppages), BBC commentator Martin Keown remarked: ""I think the referee is losing the plot here.""Earlier, and with Argentina giving up a two-goal lead to leave the score at 2–2, Argentina's Leandro Paredes fouled his opponent Nathan Aké. Paredes responded to the referee's whistle by angrily kicking the ball at the Dutch bench on which staff and players were seated. Enraged Dutch staff and players poured onto the pitch, followed by Argentine staff and player, sparking an on-pitch brawl featuring players and substitutes. Netherlands captain Virgil van Dijk was seen charging forward and knocking Paredes to the ground. Given the general confusion surrounding the game's total of yellow cards and several contradictions when various match reports are viewed, it is unclear how many players Mateu Lahoz booked in this one incident.
After the game Lionel Messi asked FIFA to expel Mateu Lahoz. Messi also criticised the Netherlands manager: ""Louis van Gaal says they play good football, but what he did was put tall people and spam long balls"" and blamed Mateu Lahoz for causing the game to go on longer than it should have: ""The referee sent us into extra time"". The referee's decision not to show the yellow card to Messi for a deliberate handball also attracted comment, though Messi was eventually booked in the 10th minute of injury time at the end of the second half, at which point he would have been sent off with a red card if he had been booked for the earlier foul. Argentina's goalkeeper Emiliano Martínez described Mateu Lahoz as ""crazy, the worst referee of the tournament, he is arrogant. You say something to him and he talks back to you badly. I think since Spain went out [to Morocco in the Round of 16] he wanted us to go out as well"".Before Argentine player Lautaro Martínez started walking to kick his penalty shot, several Dutch players started to surround him, in an attempt to psych him out, even though a player is supposed to go to kick the shot alone. He would later go on to score Argentina's decisive shot, that qualified them to the semifinals. Immediately following the penalty shootout victory, several Argentina players goaded the losing Netherlands players, e.g. Nicolás Otamendi raised his hands behind his ears, Leandro Paredes and Gonzalo Montiel gestured directly at them, while Alexis Mac Allister, Germán Pezzella and Ángel Di María screamed at their beaten opponents, action harshly shunned by some foreign commentators and claimed as misunderstood by some others. However, the next day, an overhead camera recorded the incident between Martínez and the chasing Dutch players.Messi, while giving a post-match interview, said to Wout Weghorst: ""What are you looking at, fool? Go away, go back there.""",806
List of 2022 FIFA World Cup controversies,"""No Surrender"" Kosovo flag","Shortly after the Group G Brazil vs Serbia match on 24 November, a flag showing Kosovo as being part of Serbia with words ""Нема предаје"" (transl. No surrender) was seen hanging in Serbia's locker room. The flag was also displayed by fans during the game. The Football Association of Kosovo sued the Football Association of Serbia and urged FIFA to open an investigation.  On 26 November 2022, FIFA opened proceedings against the Football Association of Serbia due on the basis of article 11 of the FIFA Disciplinary Code and article 4 of the Regulations for the FIFA World Cup 2022. The Football Association of Serbia was subsequently fined 20,000 Swiss francs by FIFA on 7 December.",156
List of 2022 FIFA World Cup controversies,Moroccan riots,"Following the Group F Belgium vs Morocco match, in which Morocco unexpectedly defeated Belgium on 27 November, Moroccan fans began to riot in the Belgian cities of Brussels, Antwerp and Liege, and in the Dutch cities of Rotterdam, Amsterdam, and The Hague. At least twelve people were detained and two police officers were injured. Riot police attempted to break up a group of 500 football supporters in Rotterdam while media reported unrest in Amsterdam and The Hague.Following the semifinal match between Morocco and France, clashes erupted between Moroccan and French fans in several French cities, with one 14-year-old boy being killed in Montpellier. Meanwhile, in the Netherlands, 14 Moroccan fans were arrested in the city of Rotterdam amidst the unrest, while Dutch officials opted against public screenings of the game due to the previous unrest from the Morocco vs Belgium match.",177
List of 2022 FIFA World Cup controversies,Uruguayans after Ghana game,"The Group H Ghana vs Uruguay match on 2 December finished in a 2–0 victory for Uruguay; however, Uruguay failed to progress from the group. After the final whistle, several Uruguayan players confronted the referee and other FIFA officials over what they deemed as controversial decisions during the course of the game, and while walking down the tunnel towards the dressing rooms, Edinson Cavani pushed over the VAR monitor.After the tournament ended, FIFA banned 
Fernando Muslera and José María Giménez for four international games each and was ordered to pay a fine of €20,000. Meanwhile, Edinson Cavani and Diego Godín must serve one international game bans each and must pay a fine of €15,000. All four players are also ordered to take part in a form of community service. The Uruguayan football federation was also fined €43,800 and will have to play one home fixture with a reduced capacity. The punishments received are reminiscent of the one that Luis Suárez received in 2014 after biting an opponent.",220
List of 2022 FIFA World Cup controversies,Samuel Eto'o assault,"Following the Group G Cameroon vs Brazil match on 2 December, Samuel Eto'o assaulted a man outside Stadium 974. A video circulated on social media of the former Cameroon international and Barcelona player, who was Cameroonian Football Federation president, attacking the man. Eto'o said himself, in a statement issued later that week, that it was a ""violent altercation"", that it was ""an unfortunate incident"" and that his victim was ""probably"" a fan of Algeria.",103
List of 2022 FIFA World Cup controversies,Argentina–France final,"After Argentina's win in the final, Qatari Emir Sheikh Tamim bin Hamad Al Thani presented an Arab cloak, a bisht, to Lionel Messi. In Qatar, using a bisht traditionally display a high status, used by royals. Some people criticised the gesture, saying it marred the moment when Messi lifted the World Cup; BBC host Gary Lineker said it was ""a shame they've covered his shirt"" during ""a magic moment"".  However, fan and media reactions were mixed, with some commentators describing journalists who criticised the bisht presentation as salty.Argentine goalkeeper Emiliano Martínez, after winning the Golden glove trophy (which resembles a giant hand), placed it on his groin and pointed towards fans in front of the FIFA president and Qatari Emir, which some detractors saw as a vulgar gesture.Turkish celebrity Salt Bae was seen on the pitch, intruding to talk to the Argentine players, despite the clear discomfort of the players around him. He was also behaving inappropriately around the World Cup trophy and taking medals from the Argentines to bite into it.",228
2022 FIFA World Cup qualification – UEFA Group A,Summary,"The 2022 FIFA World Cup qualification UEFA Group A was one of the ten UEFA groups in the World Cup qualification tournament to decide which teams would qualify for the 2022 FIFA World Cup finals tournament in Qatar. Group A consisted of five teams: Azerbaijan, Luxembourg, Portugal, the Republic of Ireland and Serbia. The teams played against each other home-and-away in a round-robin format.The group winners, Serbia, qualified directly for the World Cup finals, while the runners-up, Portugal, advanced to the second round (play-offs).
Qatar were partnered with the five-team Group A, which enabled the 2022 FIFA World Cup hosts to play centralised friendlies against these countries on their ""spare"" match dates. However, these friendlies did not count in the qualifying group standings. Qatar played their ""home"" matches in Europe in order to allow short travel times for their opponents.",187
2022 FIFA World Cup qualification – UEFA Group A,Matches,"The fixture list was confirmed by UEFA on 8 December 2020, the day following the draw. Times are CET/CEST, as listed by UEFA (local times, if different, are in parentheses).",43
2022 FIFA World Cup qualification – UEFA Group A,Goalscorers,"There were 59 goals scored in 20 matches, for an average of 2.95 goals per match.

8 goals
6 goals
5 goals
4 goals
3 goals
2 goals
1 goal
1 own goal",49
2022 FIFA World Cup qualification – UEFA Group A,Discipline,"A player was automatically suspended for the next match for the following offences:
Receiving a red card (red card suspensions could be extended for serious offences)
Receiving two yellow cards in two different matches (yellow card suspensions were carried forward to the play-offs, but not the finals or any other future international matches)The following suspensions were served during the qualifying matches:",80
Canada v Mexico (2022 FIFA World Cup qualification),Summary,"The 2022 FIFA World Cup qualifying match between Canada and Mexico was an association football match contested by the Canadian and Mexican men's national soccer teams during the third round of CONCACAF's 2022 FIFA World Cup qualification tournament. Canada's victory over Mexico ended Mexico's eleven match unbeaten streak against Canada dating back to August 15, 2000, and put Canada in first place of the qualifying group. The temperature at kickoff was recorded as −9° Celsius, making it the coldest match ever played by the Mexico national team.",106
Canada v Mexico (2022 FIFA World Cup qualification),Venue selection,"Canada was scheduled to be the home team for the seventh and eighth fixtures of the qualifying group, and the Canadian Soccer Association chose to host their matches in Edmonton, Alberta, a city renowned for very cold Prairie winters. This strategy was often used by both Canada and the United States to create a disadvantage for the Mexican team, as those players would not be used to playing under such frigid conditions. These cold conditions caused Canadian fans and eventually Canada Soccer to nickname Commonwealth Stadium in Edmonton as the ""Iceteca"" or ""Estadio Iceteca"" which was a play on words of the Estadio Azteca, Mexico's home stadium. Several fans would later refer to the match as the Battle of the ""Iceteca"".",154
Canada v Mexico (2022 FIFA World Cup qualification),Background,"Canada and Mexico had faced each other twice before in 2021. Mexico was able to beat Canada 2–1 in the 2021 CONCACAF Gold Cup semi-finals, defeating them with a winning goal in the 90+9th minute of the match scored by Héctor Herrera. Mexico had also hosted Canada earlier in October for a World Cup qualifying match which ended in a 1–1 draw at the Estadio Azteca. Mexico were in second place of the group, tied with first place USA with fourteen points, while Canada trailed by one point in third place. Both teams had the opportunity to rise to the top of the group if they could come away with a win.
Table as of November 12, 2021",148
Canada v Mexico (2022 FIFA World Cup qualification),First half,"The first half quickly became a hostile affair, with both sides carrying over the bitterness from the recent fixtures. A particularly hard challenge in the first couple minutes of play left Mexican forward Hirving Lozano down for several minutes as the foul count continued to grow. As tensions rose, both managers were cautioned after half an hour for complaints towards the referees and each other. Canada were able to find the opening goal in first-half stoppage time after Cyle Larin was able to tap in a rebound after goalkeeper Guillermo Ochoa mistakenly fumbled the ball from a long shot by Alistair Johnston.",126
Canada v Mexico (2022 FIFA World Cup qualification),Second half,"Seven minutes into the second half, Canada would double their lead when Mexico failed to defend a Stephen Eustáquio free kick which landed in the goal area for Larin to tap in. During the goal celebration, Canadian defender Sam Adekugbe made headlines after celebrating in true Canadian fashion by jumping into a snow bank which had developed near the corner of the pitch. This goal was Larin's twenty-second goal for the Canada men's national team, and equaled the team's top scoring record held by Dwayne De Rosario. Both sides continued to get stuck in and frustrations started to boil over near the end as Mexico desperately attempted to find equalizing goals. Mexico would eventually find the net in the ninetieth minute of play, when Hector Herrera was able to head in a cross from the right and half the deficit. This was quickly followed by a skirmish in front of goal as Mexican players attempted to swipe the ball from goalkeeper Milan Borjan, whom had immediately pounced on the ball to delay the restart as the match entered stoppage time. With increased motivation to equalize, Mexico unleashed several promising attacks throughout additional time, most notably in the third additional minute when the Canadian defense failed to clear away a cross and gave away a shot from two yards out. However, Borjan was able to make a goal line save, prompting several protests from Mexican players who believed the ball was over the line. Canada attempted to kill the last couple seconds of the game by holding the ball in the corner, causing an angered Néstor Araujo to recklessly shoulder charge Lucas Cavallini from behind. The referee issued a yellow card for the challenge before ending the match.",344
Canada v Mexico (2022 FIFA World Cup qualification),Reactions,"Canada's three points from the match would cause them to surpass the United States and take first place, a position that they would maintain for the rest of the tournament. In Canada, this match was seen by many as a turning point for Canadian soccer and the men's national team, whose normal reputation of being an underdog team in international competition with little prestige or potential, were now being proclaimed as the 'Kings of CONCACAF.' A staggering forty-four thousand fans turned up in sub-zero temperatures to watch the match, which in Edmonton was the national team's third highest attendance record, only sitting below the forty-eight thousand who showed for the match against Costa Rica four days earlier, and the fifty-two thousand people who attended a friendly against Brazil in 1994. Canada would eventually qualify for the FIFA World Cup for the first time since 1986. Despite the loss, Mexico would eventually reach second place and qualify as well for the seventeenth time in their history.",196
Canada v Mexico (2022 FIFA World Cup qualification),2022 World Cup,"Despite their successful qualifying campaign, Canada was only able to qualify for Pot 4 of the World Cup draw, and were placed in a challenging group with Belgium (the 2nd ranked country in the world), as well as Croatia and Morocco who would both eventually reach the semi-finals. Mexico despite qualifying for Pot 2 were also matched with difficult opposition in Poland, the eventual World Cup champions Argentina, and Saudi Arabia. 
Canada were able to shock the world in their fourth ever World Cup match by putting up an incredible fight against Belgium, but were unable to find their first points at the World Cup due to a missed penalty-kick and poor finishing in an eventual 1–0 loss. Despite being praised by the international press, and the Belgian coaching staff, Canada would be defeated by Croatia and Morocco, and exited their second World Cup with two goals and no points.
Mexico's run was relatively unsuccessful as well. They managed to hold Poland to a 0–0 draw thanks to a penalty-save from Ochoa, however, their 2–0 loss to Argentina put them in a difficult position on the final matchday. Despite coming away with a win against Saudi Arabia, a 90+5th minute consolation goal for the Saudi Arabian national team eliminated Mexico on goal differential.",260
2023 FIFA Women's World Cup qualification (inter-confederation play-offs),Summary,"The inter-confederation play-offs of the 2023 FIFA Women's World Cup qualification determined the final three qualification spots for the 2023 FIFA Women's World Cup. The play-off tournament was used as a test event for New Zealand to host prior to the Women's World Cup. It took place from 18 to 23 February 2023, and featured ten teams split into three groups, with the winner of each group qualifying for the Women's World Cup. New Zealand and guests Argentina also played friendlies against participating teams and each other as part of the event.",117
2023 FIFA Women's World Cup qualification (inter-confederation play-offs),Format,"On 24 December 2020, the Bureau of the FIFA Council approved the slot allocation and format of the play-off tournament.

AFC (Asia): 2 slots
CAF (Africa): 2 slots
CONCACAF (North, Central America and the Caribbean): 2 slots
CONMEBOL (South America): 2 slots
OFC (Oceania): 1 slot
UEFA (Europe): 1 slotThe play-off tournament was held in New Zealand as a test event prior to their hosting of 2023 FIFA Women's World Cup. It featured ten teams, split into three groups of three (Group A and B) or four (Group C). The winner of each group qualified for the FIFA Women's World Cup. Four teams were seeded into groups based on the FIFA Women's World Rankings. In Groups A and B, two unseeded teams faced each other in a semi-final. The winner of the semi-final advanced to the play-off final, playing against the seeded team for a spot in the Women's World Cup. In Group C, the two seeded teams faced an unseeded team in the semi-finals. The winners of the semi-finals faced each other in the play-off final for a spot in the Women's World Cup.New Zealand and Argentina (confirmed as guests on 8 December 2022) participated in friendly matches as part of the event, first against one of the seeded teams in Groups A and B, and then twice against each other. Friendly matches also took place between the semi-final loser of Groups A and B, as well as the two semi-final losers of Group C, thereby ensuring that all play-off teams played two matches at the event.New Zealand were confirmed as the sole host nation for the play-off tournament on 4 July 2022. Australia were originally planned as co-hosts of the play-offs, with their national team intended to participate in friendly matches.",397
2023 FIFA Women's World Cup qualification (inter-confederation play-offs),Draw,"The play-off draw took place on 14 October 2022, 12:00 CEST (UTC+2), in Zürich, Switzerland. Four teams were seeded into groups based on the FIFA Women's World Rankings of 13 October 2022 (shown in parentheses), with a maximum of one seeded team per confederation. The UEFA team was automatically seeded into pot 1, so as to prevent three European teams from being drawn into the same group in the final tournament. The highest-ranked team was placed in slot A1, the second-highest in slot B1, the third-highest in slot C1 and the fourth-highest in slot C2. The remaining six teams were unseeded and drawn into the remaining slots, with the condition that teams from the same confederation could not be drawn into the same group. In the draw, the six unseeded teams were allocated to the first available group sequentially (from A to C, before repeating). After a team was selected, a separate draw then determined the team's position within their respective group for the purposes of the schedule.",220
2023 FIFA Women's World Cup qualification (inter-confederation play-offs),Squads,"Each team had to provide to FIFA a preliminary squad of between 35 and 55 players, which was not to be published. From the preliminary squad, each team had to name a final squad of up to 23 players (three of whom must be goalkeepers). Players in the final squad could be replaced due to serious injury or illness up to 24 hours prior to the team's first match.",80
2023 FIFA Women's World Cup qualification (inter-confederation play-offs),Schedule,"The match schedule and venues, without kick-off times, were confirmed on 4 July 2022. The kick-off times were confirmed on 5 November 2022, after the play-off draw. The semi-finals took place from 18 to 19 February, while the finals took place from 22 to 23 February 2023.All times listed are local, NZDT (UTC+13).",79
Australia 2022 FIFA World Cup bid,Summary,"Australia submitted an unsuccessful bid for the 2022 FIFA World Cup. On 2 December 2010 FIFA announced that the event would be held in Qatar. Australia also lodged a bid for the 2018 World Cup, but withdrew the bid on 10 June 2010. The 2018 and 2022 World Cups will be the 21st and 22nd editions of the FIFA World Cup. The bidding procedure to host both the 2018 and 2022 FIFA World Cup began in January 2009, and national associations had until 2 February 2009 to register their interest. The bid was presented by Frank Lowy, Ben Buckley, Quentin Bryce and Elle Macpherson.",124
Australia 2022 FIFA World Cup bid,Schedule,"After decades of hypothesising Australia's credentials to host the FIFA World Cup, the Howard Government welcomed tentative investigations into the viability of hosting the tournament as early as 2002. Football Australia, known at the time as Soccer Australia, targeted bidding for the 2014 edition of the tournament. After realising that Brazil were overwhelmingly likely to receive the hosting rights - which they did in 2007 - Football Federation Australia focused on a formal bid for the 2018 FIFA World Cup, announcing their intention to do so in November 2007. After FIFA in December 2008 announced they would be accepting bids for both the 2018 and 2022 FIFA World Cup, Australia registered their intention to bid with FIFA for the 2022 FIFA World Cup in February 2009.
The bid was officially launched on 14 June 2009 at Parliament House in Canberra.",157
Australia 2022 FIFA World Cup bid,Rejected bid venues,"The following is a list of stadiums that were considered at one time as part of the FFA's bid to host the 2022 FIFA World Cup, but did not make the final cut:",41
